shank,electrode,x_um,y_um
1,1,80,255.0
1,2,80,225.0
1,3,80,195.0
1,4,80,165.0
1,5,80,135.0
1,6,80,105.0
1,7,80,75.0
1,8,80,45.0
2,1,160,240.0
2,2,160,210.0
2,3,160,180.0
2,4,160,150.0
2,5,160,120.0
2,6,160,90.0
2,7,160,60.0
2,8,160,30.0
3,1,240,255.0
3,2,240,225.0
3,3,240,195.0
3,4,240,165.0
3,5,240,135.0
3,6,240,105.0
3,7,240,75.0
3,8,240,45.0
4,1,320,240.0
4,2,320,210.0
4,3,320,180.0
4,4,320,150.0
4,5,320,120.0
4,6,320,90.0
4,7,320,60.0
4,8,320,30.0
5,1,400,255.0
5,2,400,225.0
5,3,400,195.0
5,4,400,165.0
5,5,400,135.0
5,6,400,105.0
5,7,400,75.0
5,8,400,45.0
6,1,480,240.0
6,2,480,210.0
6,3,480,180.0
6,4,480,150.0
6,5,480,120.0
6,6,480,90.0
6,7,480,60.0
6,8,480,30.0
7,1,560,255.0
7,2,560,225.0
7,3,560,195.0
7,4,560,165.0
7,5,560,135.0
7,6,560,105.0
7,7,560,75.0
7,8,560,45.0
8,1,640,240.0
8,2,640,210.0
8,3,640,180.0
8,4,640,150.0
8,5,640,120.0
8,6,640,90.0
8,7,640,60.0
8,8,640,30.0
9,1,720,255.0
9,2,720,225.0
9,3,720,195.0
9,4,720,165.0
9,5,720,135.0
9,6,720,105.0
9,7,720,75.0
9,8,720,45.0
10,1,800,240.0
10,2,800,210.0
10,3,800,180.0
10,4,800,150.0
10,5,800,120.0
10,6,800,90.0
10,7,800,60.0
10,8,800,30.0
11,1,880,255.0
11,2,880,225.0
11,3,880,195.0
11,4,880,165.0
11,5,880,135.0
11,6,880,105.0
11,7,880,75.0
11,8,880,45.0
12,1,960,240.0
12,2,960,210.0
12,3,960,180.0
12,4,960,150.0
12,5,960,120.0
12,6,960,90.0
12,7,960,60.0
12,8,960,30.0
13,1,1040,255.0
13,2,1040,225.0
13,3,1040,195.0
13,4,1040,165.0
13,5,1040,135.0
13,6,1040,105.0
13,7,1040,75.0
13,8,1040,45.0
14,1,1120,240.0
14,2,1120,210.0
14,3,1120,180.0
14,4,1120,150.0
14,5,1120,120.0
14,6,1120,90.0
14,7,1120,60.0
14,8,1120,30.0
15,1,1200,255.0
15,2,1200,225.0
15,3,1200,195.0
15,4,1200,165.0
15,5,1200,135.0
15,6,1200,105.0
15,7,1200,75.0
15,8,1200,45.0
16,1,1280,240.0
16,2,1280,210.0
16,3,1280,180.0
16,4,1280,150.0
16,5,1280,120.0
16,6,1280,90.0
16,7,1280,60.0
16,8,1280,30.0
17,1,1360,255.0
17,2,1360,225.0
17,3,1360,195.0
17,4,1360,165.0
17,5,1360,135.0
17,6,1360,105.0
17,7,1360,75.0
17,8,1360,45.0
18,1,1440,240.0
18,2,1440,210.0
18,3,1440,180.0
18,4,1440,150.0
18,5,1440,120.0
18,6,1440,90.0
18,7,1440,60.0
18,8,1440,30.0
19,1,1520,255.0
19,2,1520,225.0
19,3,1520,195.0
19,4,1520,165.0
19,5,1520,135.0
19,6,1520,105.0
19,7,1520,75.0
19,8,1520,45.0
20,1,1600,240.0
20,2,1600,210.0
20,3,1600,180.0
20,4,1600,150.0
20,5,1600,120.0
20,6,1600,90.0
20,7,1600,60.0
20,8,1600,30.0
21,1,1680,255.0
21,2,1680,225.0
21,3,1680,195.0
21,4,1680,165.0
21,5,1680,135.0
21,6,1680,105.0
21,7,1680,75.0
21,8,1680,45.0
22,1,1760,240.0
22,2,1760,210.0
22,3,1760,180.0
22,4,1760,150.0
22,5,1760,120.0
22,6,1760,90.0
22,7,1760,60.0
22,8,1760,30.0
23,1,1840,255.0
23,2,1840,225.0
23,3,1840,195.0
23,4,1840,165.0
23,5,1840,135.0
23,6,1840,105.0
23,7,1840,75.0
23,8,1840,45.0
24,1,1920,240.0
24,2,1920,210.0
24,3,1920,180.0
24,4,1920,150.0
24,5,1920,120.0
24,6,1920,90.0
24,7,1920,60.0
24,8,1920,30.0
25,1,2000,255.0
25,2,2000,225.0
25,3,2000,195.0
25,4,2000,165.0
25,5,2000,135.0
25,6,2000,105.0
25,7,2000,75.0
25,8,2000,45.0
26,1,2080,240.0
26,2,2080,210.0
26,3,2080,180.0
26,4,2080,150.0
26,5,2080,120.0
26,6,2080,90.0
26,7,2080,60.0
26,8,2080,30.0
27,1,2160,255.0
27,2,2160,225.0
27,3,2160,195.0
27,4,2160,165.0
27,5,2160,135.0
27,6,2160,105.0
27,7,2160,75.0
27,8,2160,45.0
28,1,2240,240.0
28,2,2240,210.0
28,3,2240,180.0
28,4,2240,150.0
28,5,2240,120.0
28,6,2240,90.0
28,7,2240,60.0
28,8,2240,30.0
29,1,2320,255.0
29,2,2320,225.0
29,3,2320,195.0
29,4,2320,165.0
29,5,2320,135.0
29,6,2320,105.0
29,7,2320,75.0
29,8,2320,45.0
30,1,2400,240.0
30,2,2400,210.0
30,3,2400,180.0
30,4,2400,150.0
30,5,2400,120.0
30,6,2400,90.0
30,7,2400,60.0
30,8,2400,30.0
31,1,2480,255.0
31,2,2480,225.0
31,3,2480,195.0
31,4,2480,165.0
31,5,2480,135.0
31,6,2480,105.0
31,7,2480,75.0
31,8,2480,45.0
32,1,2560,240.0
32,2,2560,210.0
32,3,2560,180.0
32,4,2560,150.0
32,5,2560,120.0
32,6,2560,90.0
32,7,2560,60.0
32,8,2560,30.0
