shank,electrode,x_um,y_um
1,1,100,37.5
1,2,100,62.5
1,3,100,87.5
1,4,100,112.5
1,5,100,137.5
1,6,100,162.5
1,7,100,187.5
1,8,100,212.5
1,9,100,237.5
1,10,100,262.5
1,11,100,287.5
1,12,100,312.5
2,1,200,25.0
2,2,200,50.0
2,3,200,75.0
2,4,200,100.0
2,5,200,125.0
2,6,200,150.0
2,7,200,175.0
2,8,200,200.0
2,9,200,225.0
2,10,200,250.0
2,11,200,275.0
2,12,200,300.0
3,1,300,37.5
3,2,300,62.5
3,3,300,87.5
3,4,300,112.5
3,5,300,137.5
3,6,300,162.5
3,7,300,187.5
3,8,300,212.5
3,9,300,237.5
3,10,300,262.5
3,11,300,287.5
3,12,300,312.5
4,1,400,25.0
4,2,400,50.0
4,3,400,75.0
4,4,400,100.0
4,5,400,125.0
4,6,400,150.0
4,7,400,175.0
4,8,400,200.0
4,9,400,225.0
4,10,400,250.0
4,11,400,275.0
4,12,400,300.0
5,1,500,37.5
5,2,500,62.5
5,3,500,87.5
5,4,500,112.5
5,5,500,137.5
5,6,500,162.5
5,7,500,187.5
5,8,500,212.5
5,9,500,237.5
5,10,500,262.5
5,11,500,287.5
5,12,500,312.5
6,1,600,25.0
6,2,600,50.0
6,3,600,75.0
6,4,600,100.0
6,5,600,125.0
6,6,600,150.0
6,7,600,175.0
6,8,600,200.0
6,9,600,225.0
6,10,600,250.0
6,11,600,275.0
6,12,600,300.0
7,1,700,37.5
7,2,700,62.5
7,3,700,87.5
7,4,700,112.5
7,5,700,137.5
7,6,700,162.5
7,7,700,187.5
7,8,700,212.5
7,9,700,237.5
7,10,700,262.5
7,11,700,287.5
7,12,700,312.5
8,1,800,25.0
8,2,800,50.0
8,3,800,75.0
8,4,800,100.0
8,5,800,125.0
8,6,800,150.0
8,7,800,175.0
8,8,800,200.0
8,9,800,225.0
8,10,800,250.0
8,11,800,275.0
8,12,800,300.0
9,1,900,37.5
9,2,900,62.5
9,3,900,87.5
9,4,900,112.5
9,5,900,137.5
9,6,900,162.5
9,7,900,187.5
9,8,900,212.5
9,9,900,237.5
9,10,900,262.5
9,11,900,287.5
9,12,900,312.5
10,1,1000,25.0
10,2,1000,50.0
10,3,1000,75.0
10,4,1000,100.0
10,5,1000,125.0
10,6,1000,150.0
10,7,1000,175.0
10,8,1000,200.0
10,9,1000,225.0
10,10,1000,250.0
10,11,1000,275.0
10,12,1000,300.0
11,1,1100,37.5
11,2,1100,62.5
11,3,1100,87.5
11,4,1100,112.5
11,5,1100,137.5
11,6,1100,162.5
11,7,1100,187.5
11,8,1100,212.5
11,9,1100,237.5
11,10,1100,262.5
11,11,1100,287.5
11,12,1100,312.5
12,1,1200,25.0
12,2,1200,50.0
12,3,1200,75.0
12,4,1200,100.0
12,5,1200,125.0
12,6,1200,150.0
12,7,1200,175.0
12,8,1200,200.0
12,9,1200,225.0
12,10,1200,250.0
12,11,1200,275.0
12,12,1200,300.0
13,1,1300,37.5
13,2,1300,62.5
13,3,1300,87.5
13,4,1300,112.5
13,5,1300,137.5
13,6,1300,162.5
13,7,1300,187.5
13,8,1300,212.5
13,9,1300,237.5
13,10,1300,262.5
13,11,1300,287.5
13,12,1300,312.5
14,1,1400,25.0
14,2,1400,50.0
14,3,1400,75.0
14,4,1400,100.0
14,5,1400,125.0
14,6,1400,150.0
14,7,1400,175.0
14,8,1400,200.0
14,9,1400,225.0
14,10,1400,250.0
14,11,1400,275.0
14,12,1400,300.0
15,1,1500,37.5
15,2,1500,62.5
15,3,1500,87.5
15,4,1500,112.5
15,5,1500,137.5
15,6,1500,162.5
15,7,1500,187.5
15,8,1500,212.5
15,9,1500,237.5
15,10,1500,262.5
15,11,1500,287.5
15,12,1500,312.5
16,1,1600,25.0
16,2,1600,50.0
16,3,1600,75.0
16,4,1600,100.0
16,5,1600,125.0
16,6,1600,150.0
16,7,1600,175.0
16,8,1600,200.0
16,9,1600,225.0
16,10,1600,250.0
16,11,1600,275.0
16,12,1600,300.0
17,1,1700,37.5
17,2,1700,62.5
17,3,1700,87.5
17,4,1700,112.5
17,5,1700,137.5
17,6,1700,162.5
17,7,1700,187.5
17,8,1700,212.5
17,9,1700,237.5
17,10,1700,262.5
17,11,1700,287.5
17,12,1700,312.5
18,1,1800,25.0
18,2,1800,50.0
18,3,1800,75.0
18,4,1800,100.0
18,5,1800,125.0
18,6,1800,150.0
18,7,1800,175.0
18,8,1800,200.0
18,9,1800,225.0
18,10,1800,250.0
18,11,1800,275.0
18,12,1800,300.0
19,1,1900,37.5
19,2,1900,62.5
19,3,1900,87.5
19,4,1900,112.5
19,5,1900,137.5
19,6,1900,162.5
19,7,1900,187.5
19,8,1900,212.5
19,9,1900,237.5
19,10,1900,262.5
19,11,1900,287.5
19,12,1900,312.5
20,1,2000,25.0
20,2,2000,50.0
20,3,2000,75.0
20,4,2000,100.0
20,5,2000,125.0
20,6,2000,150.0
20,7,2000,175.0
20,8,2000,200.0
20,9,2000,225.0
20,10,2000,250.0
20,11,2000,275.0
20,12,2000,300.0
21,1,2100,37.5
21,2,2100,62.5
21,3,2100,87.5
21,4,2100,112.5
21,5,2100,137.5
21,6,2100,162.5
21,7,2100,187.5
21,8,2100,212.5
21,9,2100,237.5
21,10,2100,262.5
21,11,2100,287.5
21,12,2100,312.5
