electrode,shank,shank_column,shank_row,x_um,y_um
223,0,1,111,40,1665
224,0,0,112,8,1680
225,0,1,112,40,1680
226,0,0,113,8,1695
227,0,1,113,40,1695
228,0,0,114,8,1710
229,0,1,114,40,1710
230,0,0,115,8,1725
231,0,1,115,40,1725
232,0,0,116,8,1740
233,0,1,116,40,1740
234,0,0,117,8,1755
235,0,1,117,40,1755
236,0,0,118,8,1770
237,0,1,118,40,1770
238,0,0,119,8,1785
239,0,1,119,40,1785
240,0,0,120,8,1800
241,0,1,120,40,1800
242,0,0,121,8,1815
243,0,1,121,40,1815
244,0,0,122,8,1830
245,0,1,122,40,1830
246,0,0,123,8,1845
247,0,1,123,40,1845
248,0,0,124,8,1860
249,0,1,124,40,1860
250,0,0,125,8,1875
251,0,1,125,40,1875
252,0,0,126,8,1890
253,0,1,126,40,1890
254,0,0,127,8,1905
255,0,1,127,40,1905
256,0,0,128,8,1920
257,0,1,128,40,1920
258,0,0,129,8,1935
259,0,1,129,40,1935
260,0,0,130,8,1950
261,0,1,130,40,1950
262,0,0,131,8,1965
263,0,1,131,40,1965
264,0,0,132,8,1980
265,0,1,132,40,1980
266,0,0,133,8,1995
267,0,1,133,40,1995
268,0,0,134,8,2010
269,0,1,134,40,2010
270,0,0,135,8,2025
271,0,1,135,40,2025
272,0,0,136,8,2040
273,0,1,136,40,2040
274,0,0,137,8,2055
275,0,1,137,40,2055
276,0,0,138,8,2070
277,0,1,138,40,2070
278,0,0,139,8,2085
279,0,1,139,40,2085
280,0,0,140,8,2100
281,0,1,140,40,2100
282,0,0,141,8,2115
283,0,1,141,40,2115
284,0,0,142,8,2130
285,0,1,142,40,2130
286,0,0,143,8,2145
287,0,1,143,40,2145
288,0,0,144,8,2160
289,0,1,144,40,2160
290,0,0,145,8,2175
291,0,1,145,40,2175
292,0,0,146,8,2190
293,0,1,146,40,2190
294,0,0,147,8,2205
295,0,1,147,40,2205
296,0,0,148,8,2220
297,0,1,148,40,2220
298,0,0,149,8,2235
299,0,1,149,40,2235
300,0,0,150,8,2250
301,0,1,150,40,2250
302,0,0,151,8,2265
303,0,1,151,40,2265
304,0,0,152,8,2280
305,0,1,152,40,2280
306,0,0,153,8,2295
307,0,1,153,40,2295
308,0,0,154,8,2310
309,0,1,154,40,2310
310,0,0,155,8,2325
311,0,1,155,40,2325
312,0,0,156,8,2340
313,0,1,156,40,2340
314,0,0,157,8,2355
315,0,1,157,40,2355
316,0,0,158,8,2370
317,0,1,158,40,2370
318,0,0,159,8,2385
319,0,1,159,40,2385
320,0,0,160,8,2400
321,0,1,160,40,2400
322,0,0,161,8,2415
323,0,1,161,40,2415
324,0,0,162,8,2430
325,0,1,162,40,2430
326,0,0,163,8,2445
327,0,1,163,40,2445
328,0,0,164,8,2460
329,0,1,164,40,2460
330,0,0,165,8,2475
331,0,1,165,40,2475
332,0,0,166,8,2490
333,0,1,166,40,2490
334,0,0,167,8,2505
335,0,1,167,40,2505
336,0,0,168,8,2520
337,0,1,168,40,2520
338,0,0,169,8,2535
339,0,1,169,40,2535
340,0,0,170,8,2550
341,0,1,170,40,2550
342,0,0,171,8,2565
343,0,1,171,40,2565
344,0,0,172,8,2580
345,0,1,172,40,2580
346,0,0,173,8,2595
347,0,1,173,40,2595
348,0,0,174,8,2610
349,0,1,174,40,2610
350,0,0,175,8,2625
351,0,1,175,40,2625
352,0,0,176,8,2640
353,0,1,176,40,2640
354,0,0,177,8,2655
355,0,1,177,40,2655
356,0,0,178,8,2670
357,0,1,178,40,2670
358,0,0,179,8,2685
359,0,1,179,40,2685
360,0,0,180,8,2700
361,0,1,180,40,2700
362,0,0,181,8,2715
363,0,1,181,40,2715
364,0,0,182,8,2730
365,0,1,182,40,2730
366,0,0,183,8,2745
367,0,1,183,40,2745
368,0,0,184,8,2760
369,0,1,184,40,2760
370,0,0,185,8,2775
371,0,1,185,40,2775
372,0,0,186,8,2790
373,0,1,186,40,2790
374,0,0,187,8,2805
375,0,1,187,40,2805
376,0,0,188,8,2820
377,0,1,188,40,2820
378,0,0,189,8,2835
379,0,1,189,40,2835
380,0,0,190,8,2850
381,0,1,190,40,2850
382,0,0,191,8,2865
383,0,1,191,40,2865
384,0,0,192,8,2880
385,0,1,192,40,2880
386,0,0,193,8,2895
387,0,1,193,40,2895
388,0,0,194,8,2910
389,0,1,194,40,2910
390,0,0,195,8,2925
391,0,1,195,40,2925
392,0,0,196,8,2940
393,0,1,196,40,2940
394,0,0,197,8,2955
395,0,1,197,40,2955
396,0,0,198,8,2970
397,0,1,198,40,2970
398,0,0,199,8,2985
399,0,1,199,40,2985
400,0,0,200,8,3000
401,0,1,200,40,3000
402,0,0,201,8,3015
403,0,1,201,40,3015
404,0,0,202,8,3030
405,0,1,202,40,3030
406,0,0,203,8,3045
407,0,1,203,40,3045
408,0,0,204,8,3060
409,0,1,204,40,3060
410,0,0,205,8,3075
411,0,1,205,40,3075
412,0,0,206,8,3090
413,0,1,206,40,3090
414,0,0,207,8,3105
415,0,1,207,40,3105
416,0,0,208,8,3120
417,0,1,208,40,3120
418,0,0,209,8,3135
419,0,1,209,40,3135
420,0,0,210,8,3150
421,0,1,210,40,3150
422,0,0,211,8,3165
423,0,1,211,40,3165
424,0,0,212,8,3180
425,0,1,212,40,3180
426,0,0,213,8,3195
427,0,1,213,40,3195
428,0,0,214,8,3210
429,0,1,214,40,3210
430,0,0,215,8,3225
431,0,1,215,40,3225
432,0,0,216,8,3240
433,0,1,216,40,3240
434,0,0,217,8,3255
435,0,1,217,40,3255
436,0,0,218,8,3270
437,0,1,218,40,3270
438,0,0,219,8,3285
439,0,1,219,40,3285
440,0,0,220,8,3300
441,0,1,220,40,3300
442,0,0,221,8,3315
443,0,1,221,40,3315
444,0,0,222,8,3330
445,0,1,222,40,3330
446,0,0,223,8,3345
447,0,1,223,40,3345
448,0,0,224,8,3360
449,0,1,224,40,3360
450,0,0,225,8,3375
451,0,1,225,40,3375
452,0,0,226,8,3390
453,0,1,226,40,3390
454,0,0,227,8,3405
455,0,1,227,40,3405
456,0,0,228,8,3420
457,0,1,228,40,3420
458,0,0,229,8,3435
459,0,1,229,40,3435
460,0,0,230,8,3450
461,0,1,230,40,3450
462,0,0,231,8,3465
463,0,1,231,40,3465
464,0,0,232,8,3480
465,0,1,232,40,3480
466,0,0,233,8,3495
467,0,1,233,40,3495
468,0,0,234,8,3510
469,0,1,234,40,3510
470,0,0,235,8,3525
471,0,1,235,40,3525
472,0,0,236,8,3540
473,0,1,236,40,3540
474,0,0,237,8,3555
475,0,1,237,40,3555
476,0,0,238,8,3570
477,0,1,238,40,3570
478,0,0,239,8,3585
479,0,1,239,40,3585
480,0,0,240,8,3600
481,0,1,240,40,3600
482,0,0,241,8,3615
483,0,1,241,40,3615
484,0,0,242,8,3630
485,0,1,242,40,3630
486,0,0,243,8,3645
487,0,1,243,40,3645
488,0,0,244,8,3660
489,0,1,244,40,3660
490,0,0,245,8,3675
491,0,1,245,40,3675
492,0,0,246,8,3690
493,0,1,246,40,3690
494,0,0,247,8,3705
495,0,1,247,40,3705
496,0,0,248,8,3720
497,0,1,248,40,3720
498,0,0,249,8,3735
499,0,1,249,40,3735
500,0,0,250,8,3750
501,0,1,250,40,3750
502,0,0,251,8,3765
503,0,1,251,40,3765
504,0,0,252,8,3780
505,0,1,252,40,3780
506,0,0,253,8,3795
507,0,1,253,40,3795
508,0,0,254,8,3810
509,0,1,254,40,3810
510,0,0,255,8,3825
511,0,1,255,40,3825
512,0,0,256,8,3840
513,0,1,256,40,3840
514,0,0,257,8,3855
515,0,1,257,40,3855
516,0,0,258,8,3870
517,0,1,258,40,3870
518,0,0,259,8,3885
519,0,1,259,40,3885
520,0,0,260,8,3900
521,0,1,260,40,3900
522,0,0,261,8,3915
523,0,1,261,40,3915
524,0,0,262,8,3930
525,0,1,262,40,3930
526,0,0,263,8,3945
527,0,1,263,40,3945
528,0,0,264,8,3960
529,0,1,264,40,3960
530,0,0,265,8,3975
531,0,1,265,40,3975
532,0,0,266,8,3990
533,0,1,266,40,3990
534,0,0,267,8,4005
535,0,1,267,40,4005
536,0,0,268,8,4020
537,0,1,268,40,4020
538,0,0,269,8,4035
539,0,1,269,40,4035
540,0,0,270,8,4050
541,0,1,270,40,4050
542,0,0,271,8,4065
543,0,1,271,40,4065
544,0,0,272,8,4080
545,0,1,272,40,4080
546,0,0,273,8,4095
547,0,1,273,40,4095
548,0,0,274,8,4110
549,0,1,274,40,4110
550,0,0,275,8,4125
551,0,1,275,40,4125
552,0,0,276,8,4140
553,0,1,276,40,4140
554,0,0,277,8,4155
555,0,1,277,40,4155
556,0,0,278,8,4170
557,0,1,278,40,4170
558,0,0,279,8,4185
559,0,1,279,40,4185
560,0,0,280,8,4200
561,0,1,280,40,4200
562,0,0,281,8,4215
563,0,1,281,40,4215
564,0,0,282,8,4230
565,0,1,282,40,4230
566,0,0,283,8,4245
567,0,1,283,40,4245
568,0,0,284,8,4260
569,0,1,284,40,4260
570,0,0,285,8,4275
571,0,1,285,40,4275
572,0,0,286,8,4290
573,0,1,286,40,4290
574,0,0,287,8,4305
575,0,1,287,40,4305
576,0,0,288,8,4320
577,0,1,288,40,4320
578,0,0,289,8,4335
579,0,1,289,40,4335
580,0,0,290,8,4350
581,0,1,290,40,4350
582,0,0,291,8,4365
583,0,1,291,40,4365
584,0,0,292,8,4380
585,0,1,292,40,4380
586,0,0,293,8,4395
587,0,1,293,40,4395
588,0,0,294,8,4410
589,0,1,294,40,4410
590,0,0,295,8,4425
591,0,1,295,40,4425
592,0,0,296,8,4440
593,0,1,296,40,4440
594,0,0,297,8,4455
595,0,1,297,40,4455
596,0,0,298,8,4470
597,0,1,298,40,4470
598,0,0,299,8,4485
599,0,1,299,40,4485
600,0,0,300,8,4500
601,0,1,300,40,4500
602,0,0,301,8,4515
603,0,1,301,40,4515
604,0,0,302,8,4530
605,0,1,302,40,4530
606,0,0,303,8,4545
607,0,1,303,40,4545
608,0,0,304,8,4560
609,0,1,304,40,4560
610,0,0,305,8,4575
611,0,1,305,40,4575
612,0,0,306,8,4590
613,0,1,306,40,4590
