x,y
2560,-14
2560,16
2560,46
2560,76
2560,106
2560,136
2560,166
2560,196
2480,1
2480,31
2480,61
2480,91
2480,121
2480,151
2480,181
2480,211
2400,-14
2400,16
2400,46
2400,76
2400,106
2400,136
2400,166
2000,211
2000,181
2000,151
2000,121
2000,91
2000,61
2000,31
2000,1
2080,196
2080,166
2080,136
2080,106
2080,76
2080,46
2080,16
2080,-14
2160,211
2160,181
2160,151
2160,121
2160,91
2160,61
2160,31
2160,1
2240,196
2240,166
2240,136
2240,106
2240,76
2240,46
2240,16
2240,-14
2320,211
2320,181
2320,151
2320,121
2320,91
2320,61
2320,31
2320,1
2400,196
1360,211
1360,181
1360,151
1360,121
1360,91
1360,61
1360,31
1360,1
1440,196
1440,166
1440,136
1440,106
1440,76
1440,46
1440,16
1440,-14
1520,211
1520,181
1520,151
1520,121
1520,91
1520,61
1520,31
1520,1
1600,196
1600,166
1600,136
1600,106
1600,76
1600,46
1600,16
1600,-14
1680,211
1680,181
1680,151
1680,121
1680,91
1680,61
1680,31
1680,1
1760,196
1760,166
1760,136
1760,106
1760,76
1760,46
1760,16
1760,-14
1840,211
1840,181
1840,151
1840,121
1840,91
1840,61
1840,31
1840,1
1920,196
1920,166
1920,136
1920,106
1920,76
1920,46
1920,16
1920,-14
240,1
320,196
320,166
320,136
320,106
320,76
320,46
320,16
320,-14
400,211
400,181
400,151
400,121
400,91
400,61
400,31
400,1
480,196
480,166
480,136
480,106
480,76
480,46
480,16
480,-14
560,211
560,181
560,151
560,121
560,91
560,61
560,31
560,1
640,196
640,166
640,136
640,106
640,76
640,46
640,16
640,-14
240,31
240,61
240,91
240,121
240,151
240,181
240,211
160,-14
160,16
160,46
160,76
160,106
160,136
160,166
160,196
80,1
80,31
80,61
80,91
80,121
80,151
80,181
80,211
720,211
720,181
720,151
720,121
720,91
720,61
720,31
720,1
800,196
800,166
800,136
800,106
800,76
800,46
800,16
800,-14
880,211
880,181
880,151
880,121
880,91
880,61
880,31
880,1
960,196
960,166
960,136
960,106
960,76
960,46
960,16
960,-14
1040,211
1040,181
1040,151
1040,121
1040,91
1040,61
1040,31
1040,1
1120,196
1120,166
1120,136
1120,106
1120,76
1120,46
1120,16
1120,-14
1200,211
1200,181
1200,151
1200,121
1200,91
1200,61
1200,31
1200,1
1280,196
1280,166
1280,136
1280,106
1280,76
1280,46
1280,16
1280,-14
